PSNR,std PSNR,SSIM,std SSIM,Exposure,PE,std PE
26.70,1.0897483825683594,0.7873457074165344,0.04549674317240715,1.0,0.0,0.0
27.80,1.1115845441818237,0.8107098340988159,0.04041893780231476,1.0,0.0,0.0
28.20,1.120297908782959,0.8242040872573853,0.03717401623725891,1.0,0.0,0.0
28.40,1.1185483932495117,0.8286215662956238,0.03728489577770233,1.0,0.0,0.0
28.40,1.0223007202148438,0.8324743509292603,0.03622816875576973,1.130273461341858,13.02734375,5.830211162567139
28.70,0.9811570644378662,0.831652045249939,0.03676621988415718,0.9881347417831421,3.2568359375,2.5308997631073
28.80,0.9601112008094788,0.8332961201667786,0.03615344315767288,1.0360596179962158,4.27490234375,2.982724666595459
28.80,0.9424928426742554,0.8343154191970825,0.03590346500277519,1.0081787109375,4.01611328125,2.6627590656280518
28.90,0.925293505191803,0.8367571830749512,0.03547074273228645,1.0247070789337158,3.837890625,2.344574451446533
29.00,0.9189581274986267,0.8376728892326355,0.03541262075304985,1.0168945789337158,3.486328125,2.4105472564697266
